hotel_name,hotel_address,hotel_city,hotel_state,hotel_zipcode,hotel_phone
motel6 GRANTS PASS,1800 NE. 7TH ST,GRANTS PASS,OR,97526,5414741331
motel6 ARCATA - HUMBOLDT UNIVERSITY,4755 VALLEY WEST BLVD,ARCATA,CA,95521,7078227061
motel6 BAKERSFIELD SOUTH,2727 WHITE LN,BAKERSFIELD,CA,93304,6618342828
motel6 PISMO BEACH,860 4TH ST,PISMO BEACH,CA,93449,8059799809
motel6 TULARE,1111 N BLACKSTONE DR,TULARE,CA,93274,5596861611
motel6 SANTA CLARA,3208 EL CAMINO REAL,SANTA CLARA,CA,95051,4082410200
motel6 COEUR D'ALENE,610 WEST APPLEWAY AVE,COEUR D'ALENE,ID,83814,2086646600
motel6 PORTERVILLE,935 W MORTON AVE,PORTERVILLE,CA,93257,5597817600
motel6 MAMMOTH LAKES,3372 MAIN ST PO BOX 1260,MAMMOTH LAKES,CA,93546,7609046991
motel6 TRACY,3810 N TRACY BLVD,TRACY,CA,95304,2098364900
motel6 DAVIS - SACRAMENTO AREA,4835 CHILES RD,DAVIS,CA,95616,5307533777
motel6 SANTA NELLA - LOS BANOS - INTERSTATE 5,12733 SOUTH HWY 33,SANTA NELLA VILLAGE,CA,95322,2092214122
motel6 KALISPELL,1540 US 93 S,KALISPELL,MT,59901,4069523206
motel6 FORT COLLINS,3900 E MULBERRY ST,FORT COLLINS,CO,80524,9704826466
motel6 CHEYENNE,1735 WESTLAND RD,CHEYENNE,WY,82001,3076356806
motel6 PALMDALE,407 W PALMDALE BLVD,PALMDALE,CA,93551,6612720660
motel6 TURLOCK,250 S WALNUT AVE,TURLOCK,CA,95380,2096674100
motel6 SEATTLE EAST - ISSAQUAH,1885 15TH PLACE NW,ISSAQUAH,WA,98027,4253928405
motel6 FLAGSTAFF - BUTLER AVENUE,2010 E BUTLER AVE,FLAGSTAFF,AZ,86004,9287741801
motel6 LUBBOCK,909 66TH ST,LUBBOCK,TX,79412,8067455541
motel6 DENVER - AIRPORT,12020 E 39TH AVE,DENVER,CO,80239,3033711980
motel6 INDIO - PALM SPRINGS AREA,82195 INDIO BLVD,INDIO,CA,92201,7603426311
motel6 PUEBLO - I-25,4103 N ELIZABETH ST,PUEBLO,CO,81008,7195436221
motel6 JACKSON WY,600 S HWY 89,JACKSON,WY,83001,3077331620
motel6 FT STOCKTON,3001 W DICKINSON BLVD,FT STOCKTON,TX,79735,4323369737
motel6 HUNTSVILLE TX,122 I-45,HUNTSVILLE,TX,77340,9362916927
motel6 TWIN FALLS,1472 BLUE LAKES BLVD N,TWIN FALLS,ID,83301,2087343993
motel6 GALVESTON,7404 AVENUE J,GALVESTON,TX,77554,4097403794
motel6 SANTA BARBARA - CARPINTERIA NORTH,4200 VIA REAL,CARPINTERIA,CA,93013,8056846921
motel6 BROWNSVILLE,2255 NORTH EXPRESSWAY,BROWNSVILLE,TX,78520,9565464699
motel6 PENDLETON,325 SE NYE AVE,PENDLETON,OR,97801,5412763160
motel6 PHOENIX NORTH BELL ROAD,2330 W BELL RD,PHOENIX,AZ,85023,6029932353
motel6 ATASCADERO,9400 EL CAMINO REAL,ATASCADERO,CA,93422,8054666701
motel6 RAPID CITY,620 LATROBE AVE,RAPID CITY,SD,57701,6052210166
motel6 AUSTIN NORTH,9420 I-35 N,AUSTIN,TX,78753,5123396161
motel6 COLLEGE STATION - BRYAN,2327 TEXAS AVE S,COLLEGE STATION,TX,77840,9796963379
motel6 VENICE FL,281 US 41 BYPASS NORTH,VENICE,FL,34285,9414858255
motel6 POMPANO BEACH,1201 NW 31ST AVE,POMPANO BEACH,FL,33069,9549778011
motel6 BIG BEAR,42899 BIG BEAR BLVD,BIG BEAR LAKE,CA,92315,9095856666
motel6 DANIA BEACH,825 E DANIA BEACH BLVD,DANIA BEACH,FL,33004,9549215505
motel6 MESA NORTH,336 W HAMPTON AVE,MESA,AZ,85210,4808448899
motel6 CENTRALIA,1310 BELMONT AVE,CENTRALIA,WA,98531,3603302057
motel6 ROCK SPRINGS,2615 COMMERCIAL WAY,ROCK SPRINGS,WY,82901,3073621850
motel6 RIVERSIDE WEST - JURUPA VALLEY,6830 VALLEY WAY,JURUPA VALLEY,CA,92509,9092698521
motel6 CASPER,1150 WILKINS CIRCLE,CASPER,WY,82601,3072123031
